Date,Actual,Predicted
2023-12-08,1390.0,1424.6053
2023-12-11,1370.0,1409.5868
2023-12-12,1370.0,1389.3962
2023-12-13,1345.0,1379.1428
2023-12-14,1325.0,1360.9069
2023-12-15,1300.0,1340.6863
2023-12-18,1250.0,1316.9087
2023-12-19,1275.0,1277.0823
2023-12-20,1265.0,1271.519
2023-12-21,1270.0,1267.305
2023-12-22,1260.0,1270.3138
2023-12-27,1260.0,1267.8691
2023-12-28,1290.0,1266.8492
2023-12-29,1265.0,1283.8076
2024-01-02,1310.0,1279.7137
2024-01-03,1305.0,1301.8118
2024-01-04,1340.0,1311.6466
2024-01-05,1330.0,1335.6155
2024-01-08,1320.0,1342.0844
2024-01-09,1310.0,1337.2874
2024-01-10,1300.0,1326.9462
2024-01-11,1290.0,1314.787
2024-01-12,1280.0,1302.6564
2024-01-15,1275.0,1291.1736
2024-01-16,1280.0,1283.2164
2024-01-17,1265.0,1283.1171
2024-01-18,1275.0,1275.8774
2024-01-19,1280.0,1278.0092
2024-01-22,1265.0,1283.0177
2024-01-23,1255.0,1277.58
2024-01-24,1255.0,1268.3453
2024-01-25,1240.0,1263.2412
2024-01-26,1235.0,1252.5991
2024-01-29,1225.0,1244.3357
2024-01-30,1235.0,1235.0475
2024-01-31,1210.0,1236.5178
2024-02-01,1190.0,1224.5365
2024-02-02,1145.0,1206.5865
2024-02-05,1155.0,1171.7708
2024-02-06,1155.0,1158.7491
2024-02-07,1115.0,1154.8748
2024-02-12,1300.0,1133.0363
2024-02-13,1300.0,1225.1787
2024-02-15,1350.0,1283.6887
2024-02-16,1370.0,1340.324
2024-02-19,1425.0,1377.1405
2024-02-20,1465.0,1422.2655
2024-02-21,1425.0,1464.9934
2024-02-22,1400.0,1458.992
2024-02-23,1400.0,1434.3658
2024-02-26,1400.0,1417.994
2024-02-27,1405.0,1409.5851
2024-02-28,1400.0,1409.478
2024-02-29,1400.0,1407.9552
2024-03-01,1405.0,1407.767
2024-03-04,1375.0,1411.0225
2024-03-05,1360.0,1395.496
2024-03-06,1400.0,1377.728
2024-03-07,1415.0,1392.1439
2024-03-08,1400.0,1411.1897
2024-03-13,1400.0,1413.0178
2024-03-14,1410.0,1412.3785
2024-03-15,1405.0,1416.9613
2024-03-18,1410.0,1416.2714
2024-03-19,1405.0,1418.2863
2024-03-20,1400.0,1416.3041
2024-03-21,1400.0,1411.9937
2024-03-22,1400.0,1409.5896
2024-03-25,1400.0,1408.5931
2024-03-26,1440.0,1408.3923
2024-03-27,1440.0,1432.0214
2024-03-28,1440.0,1445.6055
2024-04-01,1445.0,1451.4553
2024-04-02,1450.0,1455.761
2024-04-03,1450.0,1459.7823
2024-04-04,1455.0,1461.0828
2024-04-05,1465.0,1464.0112
2024-04-16,1475.0,1471.1284
2024-04-17,1425.0,1480.6207
2024-04-18,1420.0,1455.5214
2024-04-19,1410.0,1437.3942
2024-04-22,1450.0,1422.7743
2024-04-23,1435.0,1440.2375
2024-04-24,1400.0,1443.457
2024-04-25,1400.0,1424.234
2024-04-26,1405.0,1412.9132
2024-04-29,1400.0,1410.7661
2024-04-30,1400.0,1408.1528
2024-05-02,1400.0,1407.5481
2024-05-03,1405.0,1407.8125
2024-05-06,1400.0,1411.2225
2024-05-07,1400.0,1410.3564
2024-05-08,1400.0,1409.645
2024-05-13,1380.0,1409.2084
2024-05-14,1380.0,1397.2776
2024-05-15,1380.0,1390.5442
2024-05-16,1400.0,1387.6951
2024-05-17,1385.0,1398.7747
2024-05-20,1425.0,1397.017
2024-05-21,1425.0,1418.8657
2024-05-22,1385.0,1431.2053
2024-05-27,1385.0,1412.8738
2024-05-28,1400.0,1400.6449
2024-05-29,1400.0,1403.1206
2024-05-30,1400.0,1405.8336
2024-05-31,1400.0,1407.7764
2024-06-03,1385.0,1408.8341
2024-06-04,1400.0,1400.4575
2024-06-05,1400.0,1404.3104
2024-06-06,1390.0,1407.1101
2024-06-07,1400.0,1402.8118
2024-06-10,1385.0,1405.9789
2024-06-11,1390.0,1399.2256
2024-06-12,1385.0,1398.1622
2024-06-13,1390.0,1395.1057
2024-06-14,1385.0,1396.5984
2024-06-19,1385.0,1394.9111
2024-06-20,1385.0,1394.0043
2024-06-21,1400.0,1393.6466
2024-06-24,1385.0,1402.3712
2024-06-25,1385.0,1398.6646
2024-06-26,1375.0,1395.8867
2024-06-27,1390.0,1388.4423
2024-06-28,1390.0,1393.1926
2024-07-01,1375.0,1396.6194
2024-07-02,1385.0,1389.7406
2024-07-03,1375.0,1391.3489
